date,state,candidate,prob
2020-04-22,District of Columbia,trump,0
2020-04-22,Florida,biden,0.61919
2020-04-22,Florida,trump,0.38081
2020-04-22,Georgia,biden,0.39079
2020-04-22,Georgia,trump,0.60921
2020-04-22,Hawaii,biden,1
2020-04-22,Hawaii,trump,0
2020-04-22,Idaho,biden,3e-5
2020-04-22,Idaho,trump,0.99997
2020-04-22,Illinois,biden,0.99539
2020-04-22,Illinois,trump,0.00461
2020-04-22,Indiana,biden,0.00453
2020-04-22,Indiana,trump,0.99547
2020-04-22,Iowa,biden,0.09305
2020-04-22,Iowa,trump,0.90695
2020-04-22,Kansas,biden,0.01468
2020-04-22,Kansas,trump,0.98532
2020-04-22,Kentucky,biden,4e-5
2020-04-22,Kentucky,trump,0.99996
2020-04-22,Louisiana,biden,0.0254
2020-04-22,Louisiana,trump,0.9746
2020-04-22,Maine,biden,0.84692
2020-04-22,Maine,trump,0.15308
2020-04-22,Maine's 1st congressional district,biden,0.9897
2020-04-22,Maine's 1st congressional district,trump,0.0103
2020-04-22,Maine's 2nd congressional district,biden,0.19279
2020-04-22,Maine's 2nd congressional district,trump,0.80721
2020-04-22,Maryland,biden,1
2020-04-22,Maryland,trump,0
2020-04-22,Massachusetts,biden,0.99972
2020-04-22,Massachusetts,trump,2.8e-4
2020-04-22,Michigan,biden,0.76896
2020-04-22,Michigan,trump,0.23104
2020-04-22,Minnesota,biden,0.8691
2020-04-22,Minnesota,trump,0.1309
2020-04-22,Mississippi,biden,0.01166
2020-04-22,Mississippi,trump,0.98834
2020-04-22,Missouri,biden,0.01004
2020-04-22,Missouri,trump,0.98996
2020-04-22,Montana,biden,4.3e-4
2020-04-22,Montana,trump,0.99957
2020-04-22,National,biden,0.7622
2020-04-22,National,trump,0.2378
2020-04-22,Nebraska,biden,0.00273
2020-04-22,Nebraska,trump,0.99727
2020-04-22,Nebraska's 1st congressional district,biden,0.01307
2020-04-22,Nebraska's 1st congressional district,trump,0.98693
2020-04-22,Nebraska's 2nd congressional district,biden,0.56473
2020-04-22,Nebraska's 2nd congressional district,trump,0.43527
2020-04-22,Nebraska's 3rd congressional district,biden,0
2020-04-22,Nebraska's 3rd congressional district,trump,1
2020-04-22,Nevada,biden,0.84195
2020-04-22,Nevada,trump,0.15805
2020-04-22,New Hampshire,biden,0.66652
2020-04-22,New Hampshire,trump,0.33348
2020-04-22,New Jersey,biden,0.99909
2020-04-22,New Jersey,trump,9.1e-4
2020-04-22,New Mexico,biden,0.98182
2020-04-22,New Mexico,trump,0.01818
2020-04-22,New York,biden,1
2020-04-22,New York,trump,0
2020-04-22,North Carolina,biden,0.34378
2020-04-22,North Carolina,trump,0.65622
2020-04-22,North Dakota,biden,0
2020-04-22,North Dakota,trump,1
2020-04-22,Ohio,biden,0.31288
2020-04-22,Ohio,trump,0.68712
2020-04-22,Oklahoma,biden,0
2020-04-22,Oklahoma,trump,1
2020-04-22,Oregon,biden,0.97207
2020-04-22,Oregon,trump,0.02793
2020-04-22,Pennsylvania,biden,0.74236
2020-04-22,Pennsylvania,trump,0.25764
2020-04-22,Rhode Island,biden,0.99217
2020-04-22,Rhode Island,trump,0.00783
